timestamp,tof0,tof1
1734907677.2173355,255.00009155273438,255.0
1734907677.2177174,255.00009155273438,255.0
1734907677.2189322,255.00009155273438,255.0
1734907677.219115,255.00009155273438,255.0
1734907677.2206936,255.00010681152344,255.0
1734907677.22073,255.00010681152344,255.0
1734907677.2217674,255.00010681152344,255.0
1734907677.2217891,255.00010681152344,255.0
1734907677.2233086,255.00009155273438,255.0
1734907677.223327,255.00009155273438,255.0
1734907677.2247226,255.00009155273438,255.0
1734907677.224752,255.00009155273438,255.0
1734907677.226102,255.00009155273438,255.0
1734907677.2262378,255.00009155273438,255.0
1734907677.2273805,255.0000762939453,255.0
1734907677.228934,255.0000762939453,255.0
1734907677.2291725,255.0000762939453,255.0
1734907677.2308311,255.00006103515625,255.0
1734907677.2309017,255.0000762939453,255.0
1734907677.2321472,255.00006103515625,255.0
1734907677.2323198,255.00006103515625,255.0
1734907677.2335207,255.0000457763672,255.0
1734907677.233766,255.00006103515625,255.0
1734907677.2348344,255.0000457763672,255.0
1734907677.2348862,255.0000457763672,255.0
1734907677.2377436,255.00003051757812,255.0
1734907677.2378335,255.0000457763672,255.0
1734907677.239424,255.00003051757812,255.0
1734907677.2394667,255.00003051757812,255.0
1734907677.2407928,255.00003051757812,255.0
1734907677.2408075,255.00003051757812,255.0
1734907677.2419438,255.00001525878906,255.0
1734907677.2420776,255.00003051757812,255.0
1734907677.2432532,255.00001525878906,255.0
1734907677.243342,255.00001525878906,255.0
1734907677.244724,255.00001525878906,255.0
1734907677.244764,255.00001525878906,255.0
1734907677.246523,255.0,255.0
1734907677.24672,255.00001525878906,255.0
1734907677.2479453,255.0,255.0
1734907677.2480848,255.0,255.0
1734907677.2491734,255.0,255.0
1734907677.249458,255.0,255.0
1734907677.250747,255.0,255.0
1734907677.2508454,255.0,255.0
1734907677.2520943,255.0,255.0
1734907677.2523108,255.0,255.0
1734907677.2539132,255.0,255.0
1734907677.2542055,255.0,255.0
1734907677.2551315,255.0,255.0
1734907677.2553701,255.0,255.0
1734907677.2565527,255.0,255.0
1734907677.2566023,255.0,255.0
1734907677.258257,255.0,255.0
1734907677.2595136,255.0,255.0
1734907677.260176,255.0,255.0
1734907677.262019,255.0,255.0
1734907677.2620585,255.0,255.0
1734907677.2633386,255.0,255.0
1734907677.2633893,255.0,255.0
1734907677.2648516,255.0,255.0
1734907677.264873,255.0,255.0
1734907677.2660081,255.0,255.0
1734907677.2665126,255.0,255.0
1734907677.2674017,255.0,255.0
1734907677.267702,255.0,255.0
1734907677.269487,255.0,255.0
1734907677.2695365,255.0,255.0
1734907677.2712438,255.0,255.0
1734907677.2713888,255.0,255.0
1734907677.272633,255.0,255.0
1734907677.2728271,255.0,255.0
1734907677.2740405,255.0,255.0
1734907677.2740982,255.0,255.0
1734907677.2753887,255.0,255.0
1734907677.2754343,255.0,255.0
1734907677.2765892,255.0,255.0
1734907677.2767675,255.0,255.0
1734907677.2781086,255.0,255.0
1734907677.278443,255.0,255.0
1734907677.279877,255.0,255.0
1734907677.2799273,255.0,255.0
1734907677.281138,255.0,255.0
1734907677.2811823,255.0,255.0
1734907677.282932,255.0,255.0
1734907677.2829504,255.0,255.0
1734907677.2842708,255.0,255.0
1734907677.284357,255.0,255.0
1734907677.2855318,255.0,255.0
1734907677.2855577,255.0,255.0
1734907677.2870162,255.0,255.0
1734907677.28723,255.0,255.0
1734907677.2883043,255.0,255.0
1734907677.2883334,255.0,255.0
1734907677.289671,255.0,255.0
1734907677.2897663,255.0,255.0
1734907677.2913465,255.0,255.0
1734907677.2913651,255.0,255.0
1734907677.2923408,255.0,255.0
1734907677.2925184,255.0,255.0
1734907677.2937207,255.0,255.0
1734907677.2939422,255.0,255.0
1734907677.29535,255.0,255.0
1734907677.295822,255.0,255.0
1734907677.297275,255.0,255.0
1734907677.2973118,255.0,255.0
1734907677.2990005,255.0,255.0
1734907677.299041,255.0,255.0
1734907677.3003147,255.0,255.0
1734907677.3003576,255.0,255.0
1734907677.301853,255.0,255.0
1734907677.3020985,255.0,255.0
1734907677.3035243,255.0,255.0
1734907677.303665,255.0,255.0
1734907677.3049624,255.0,255.0
1734907677.3049831,255.0,255.0
1734907677.306385,255.0,255.0
1734907677.3064647,255.0,255.0
1734907677.307453,255.0,255.0
1734907677.3076293,255.0,255.0
1734907677.3087993,255.0,255.0
1734907677.3089707,255.0,255.0
1734907677.3101513,255.0,255.0
1734907677.3104057,255.0,255.0
1734907677.312121,255.0,255.0
1734907677.3122683,255.0,255.0
1734907677.313512,255.0,255.0
1734907677.3141267,255.0,255.0
1734907677.3149838,255.0,255.0
1734907677.3152535,255.0,255.0
1734907677.3163378,255.0,255.0
1734907677.3166163,255.0,255.0
1734907677.3176703,255.0,255.0
1734907677.31786,255.0,255.0
1734907677.3193896,255.0,255.0
1734907677.3198657,255.0,255.0
1734907677.3206007,255.0,255.0
1734907677.3207428,255.0,255.0
1734907677.3220327,255.0,255.0
1734907677.3221262,255.0,255.0
1734907677.3236504,255.0,255.0
1734907677.324264,255.0,255.0
1734907677.3248622,255.0,255.0
1734907677.3251452,255.0,255.0
1734907677.3266993,255.0,255.0
1734907677.3267272,255.0,255.0
1734907677.3286586,255.0,255.0
1734907677.33016,255.0,255.0
1734907677.33089,255.0,255.0
1734907677.3315578,255.0,255.0
1734907677.3324196,255.0,255.0
1734907677.3343797,255.0,255.0
1734907677.3344064,255.0,255.0
1734907677.3355403,255.0,255.0
1734907677.3357856,255.0,255.0
1734907677.3370924,255.0,255.0
1734907677.337127,255.0,255.0
1734907677.3384154,255.0,255.0
1734907677.3385162,255.0,255.0
1734907677.3396883,255.0,255.0
1734907677.3397279,255.0,255.0
1734907677.340839,255.0,255.0
1734907677.3410017,255.0,255.0
1734907677.3422008,255.0,255.0
1734907677.3425496,255.0,255.0
1734907677.3435736,255.0,255.0
1734907677.3441315,255.0,255.0
1734907677.345642,255.0,255.0
1734907677.345775,255.0,255.0
1734907677.3467789,255.0,255.0
1734907677.3470407,255.0,255.0
1734907677.3482318,255.0,255.0
1734907677.348392,255.0,255.0
1734907677.349539,255.0,255.0
1734907677.3496227,255.0,255.0
1734907677.3510754,255.0,255.0
1734907677.3511307,255.0,255.0
1734907677.3524134,255.0,255.0
1734907677.3525183,255.0,255.0
1734907677.35418,255.0,255.0
1734907677.3542774,255.0,255.0
1734907677.3552382,255.0,255.0
1734907677.3553057,255.0,255.0
1734907677.3575733,255.0,255.0
1734907677.3577664,255.0,255.0
1734907677.3591206,255.0,255.0
1734907677.3591344,255.0,255.0
1734907677.360596,255.0,255.0
1734907677.3606277,255.0,255.0
1734907677.3625505,255.0,255.0
